,StartDate,A and I Trend,Overall Franchisee Trend,Deactivated Franchisee Trend,Active Franchisees
72,2016-07-31 22:00:00+00:00,351,371,0,80
73,2016-08-01 07:53:00+00:00,352,372,0,81
74,2016-08-01 22:00:00+00:00,373,393,0,83
75,2016-08-02 22:00:00+00:00,393,413,0,89
76,2016-08-09 22:00:00+00:00,404,424,0,93
77,2016-08-10 22:00:00+00:00,410,430,0,94
78,2016-08-11 14:28:00+00:00,411,431,0,0
79,2016-08-11 22:00:00+00:00,417,437,0,0
80,2016-08-13 22:00:00+00:00,440,460,0,98
81,2016-08-14 15:21:00+00:00,441,461,0,0
82,2016-08-14 15:29:00+00:00,442,462,0,99
83,2016-08-14 22:00:00+00:00,470,490,0,109
84,2016-08-15 12:57:00+00:00,471,491,0,0
85,2016-08-15 14:03:00+00:00,472,492,0,110
86,2016-08-15 22:00:00+00:00,506,526,0,119
87,2016-08-16 14:30:00+00:00,507,527,0,120
88,2016-08-16 14:32:00+00:00,508,528,0,0
89,2016-08-16 22:00:00+00:00,528,548,0,125
90,2016-08-17 13:46:00+00:00,529,549,0,0
91,2016-08-17 14:37:00+00:00,530,550,0,126
92,2016-08-17 22:00:00+00:00,551,571,0,133
93,2016-08-22 22:00:00+00:00,550,0,21,0
94,2016-08-23 22:00:00+00:00,549,0,22,0
95,2016-08-24 22:00:00+00:00,550,572,0,0
96,2016-08-25 22:00:00+00:00,581,603,0,138
97,2016-08-26 12:53:00+00:00,582,604,0,0
98,2016-08-26 13:32:00+00:00,583,605,0,139
99,2016-08-26 13:35:00+00:00,584,606,0,0
100,2016-08-29 22:00:00+00:00,583,612,23,140
101,2016-08-29 22:00:00+00:00,589,612,23,140
102,2016-08-30 22:00:00+00:00,590,613,0,0
103,2016-08-31 22:00:00+00:00,589,0,24,0
104,2016-09-04 22:00:00+00:00,591,615,0,0
105,2016-09-05 22:00:00+00:00,611,635,0,148
